RegionName,1st_top_soil_type,2st_top_soil_type,median_nitrogen_levels,median_phosphorus_levels,median_ph_levels
QLD Condamine-Balonne,Vertosol,Kandosol,0.02-0.117,0.01-0.1,5.308-6.252
NSW Barwon Darling,Kandosol,Vertosol,0.02-0.117,0.01-0.1,5.308-6.252
QLD Moonie,Vertosol,Sodosol,0.02-0.117,0.01-0.1,5.308-6.252
NSW Murray Above,Dermosol,Tenosol,0.214-0.311,0.28-0.37,4.364-5.308
NSW Lower Darling,Rudosol,Chromosol,0.02-0.117,0.01-0.1,6.252-7.196
QLD Border Rivers,Sodosol,Vertosol,0.117-0.214,0.01-0.1,5.308-6.252
NSW Border Rivers,Vertosol,Sodosol,0.117-0.214,0.01-0.1,4.364-5.308
NSW Gwydir,Vertosol,Chromosol,0.117-0.214,0.01-0.1,5.308-6.252
NSW Namoi,Vertosol,Chromosol,0.117-0.214,0.01-0.1,5.308-6.252
NSW Macquarie-Castlereagh,Chromosol,Vertosol,0.02-0.117,0.01-0.1,5.308-6.252
NSW Lachlan,Chromosol,Kandosol,0.02-0.117,0.01-0.1,4.364-5.308
NSW Murrumbidgee,Chromosol,Vertosol,0.117-0.214,0.01-0.1,4.364-5.308
